district,fiscal_year,auditor,report_date,opinion_type,certified_enrollment,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,aea_flowthrough,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,cash_and_investments,go_debt_outstanding,save_rev_bonds,lease_sbita,capital_additions,depreciation,construction_in_progress,save_revenue,unrestricted_net_position,ipers_npl,opeb_liability,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,confidence,notes,debt_per_pupil,gf_rev_per_pupil
Cedar Rapids CSD,2022,RSM US LLP,2022-12-07,unmodified,16086,232730672,228523828,37865195,28087999,0,7979687,12.50,1.81,180332506,78.91,116058725,0,100639461,1854763,43456505,6484347,20898208,20983825,-12637051,2437712,21091089,1,N,N,N,No federal single-audit findings (sections II and III all no matters; section I shows x-No for all). IV-H enrollment variances only substantive statutory finding,Y,High,GASB 87 lease liability implemented (restated opening balance; equipment leases 2428708 beginning). Capital additions govtl: CIP 20981120 + depreciable 22177102 = 43158222 (note: land 298283 also added; total additions = 21279403+22177102=43456505). IPERS NPL dropped dramatically from 123.5M to 2.4M due to actuarial gain - large pension asset recognized. No daycare deficit finding this year (Daycare returned to positive). GF Assigned = 0 (SAVE assigned 2052460 in SAVE fund not GF). Cybersecurity incident noted July 2022 (post-period).,6256,14468
Cedar Rapids CSD,2023,RSM US LLP,2024-01-25,unmodified,14652,235412324,229342377,42865536,38324951,0,7985606,16.85,2.58,178817627,77.97,137636852,0,102251461,1343651,32827254,6958445,6857040,20703249,-23649738,67122148,21838738,2,N,Y,N,No federal single-audit findings (sections II and III: II has finding 2023-001 for GFS only). Finding 2023-001 = significant deficiency re prepaid expenditure recording,Y,High,Finding 2023-001 (significant deficiency - inadequate controls over prepaid expenditures) in financial statement section; not a federal finding. Uncorrected misstatements of $1.5M GF and $291K SAVE deemed immaterial. Enrollment dropped sharply to 14652 (certified) from 16086 - large decline. Capital additions govtl: CIP 6144328 + depreciable 26682926 = 32827254. IPERS NPL surged back to $67.1M due to actuarial losses. Lease (GASB 87) remaining 1343651. GF Assigned = 0.,6979,16067
Cedar Rapids CSD,2024,RSM US LLP,2025-01-29,unmodified,16139,234484377,233188518,45599724,39377259,0,7988949,17.39,0.55,181975493,78.04,153691640,0,112796461,910971,27983876,23558245,29274774,21024171,-9383578,68226852,22482598,2,N,N,Y,Federal finding 2024-001: Title I special tests noncompliance - District did not maintain written documentation for student cohort removals (23 of 25 sampled). Not a repeat.,Y,High,Finding 2024-001 is a federal compliance finding (noncompliance - special tests) not an internal-control finding. Prior year 2023-001 corrected (noted in summary schedule). Capital additions govtl: CIP 22417734 + depreciable 5483392 + land 82750 = 27983876. Depreciation unusually high (23.6M) includes catch-up/accelerated on buildings. IPERS NPL slightly up (68.2M). GF fund balance continues rising - 45.6M. Enrollment 16139 (stat section). GF Assigned = 0.,6989,14529
Cedar Rapids CSD,2025,RSM US LLP,2025-12-19,unmodified,16120,229926776,240345218,36118041,30777057,0,6834441,13.80,-4.53,188859178,78.58,159466357,0,117941461,463221,53567451,7978731,8385254,21347583,-1463947,53041568,15860207,,,,,N/A - separately issued,Y,Medium,2025 ACFR issued under GAAS only (not Government Auditing Standards); single-audit compliance report issued separately and not included in this file. Findings count and material-weakness/significant-deficiency classifications cannot be confirmed from this file (left blank). Capital additions govtl: CIP 11175621 + depreciable 34896133 + land 7495697 = 53567451. OPEB liability decreased substantially (22.5M to 15.9M) due to actuarial gains. IPERS NPL decreased to 53.0M. GF deficit for year (revenues 229.9M vs expenditures 240.3M = -10.4M swing). Enrollment 16120. GASB 101 Compensated Absences adopted July 1 2024 (restatement). AEA flowthrough dropped from 8.0M to 6.8M (-14.5%). No SBRC/spending-authority reduction language found in any of the six files.,7316,14263
College CSD (Prairie),2020,CliftonLarsonAllen LLP (Cedar Rapids IA),2021-01-04,unmodified,5194.1,63987865,63091052,10926398,10373174,111885,2387062,17.02,1.40,,,50062588,111995000,14336000,,21662308,4250057,47503339,5326718,-30653571,30559045,15305550,0,N,N,N,No findings (Part III none; single audit unmodified),N,High,"Enrollment is Oct 2019 count per MD&A (FY2020 school year; ""will increase funding for the 2020-21 school year"" per text - used as the in-year certified count). Capital additions = $20902104 non-depreciable increases + $760204 depreciable increases. Cash = governmental $48474918 + BTA $1587670. IPERS NPL and OPEB are governmental-activities figures. Part IV only: IV-A budget exceeded in other-expenditures function + IV-M proprietary-fund deficit; neither in Parts II-III so findings_count=0. No GFOA cert mentioned anywhere in document.",24322,12319
College CSD (Prairie),2021,CPA firm Moline IL (name not in text extraction),2021-12-21,unmodified,5089,68676282,65566658,13929171,13370935,120046,2477198,20.38,4.53,,,79304566,132010000,21857000,398061,57860038,6046449,9556963,5930144,-31204828,36645950,17993238,1,N,Y,N,No findings Part III; single audit unmodified,N,Medium,"Enrollment Oct 2020 estimated as ~5089 per FY2020 MD&A forward-looking note (stated ""decrease of 105 students in October of 2020""); exact decimal not available in source text. FY2020 ACFR stated Oct 2019 = 5194.1 (used for FY2020 row). Capital additions = $10530822 CIP increases + $47329216 depreciable asset increases. Cash = govt $77367930 + BTA $1936636. Lease $398061 issued mid-year. Finding 2021-001: significant deficiency - insufficient segregation of duties over receipts process; IV-H enrollment variance (statutory not counted in findings_count). Firm name absent from text extract - signed Moline IL.",30235,13495
College CSD (Prairie),2022,CPA firm Moline IL (name not in text extraction),2023-01-17,unmodified,,69615113,69615997,13912980,13006961,140690,2481035,19.58,-0.00,,,54881833,126325000,28625000,126799,49115139,6962051,44913059,6252782,-24015774,889109,15205995,0,N,N,Y,No findings Part II-III; single audit unmodified,N,Medium,Certified enrollment not stated in text for this year; variances in October 2021 enrollment noted as finding IV-H-22 (repeat of IV-H-21 not corrected) - counted as repeat statutory finding. Capital additions = $40718351 CIP increases + $8396788 depreciable. IPERS NPL dropped dramatically to $889109 due to excellent IPERS investment returns in measurement period (FY2022); large pension deferred inflow of $27238112 reflects near-full funding. Revenue bonds include 2017 ($3.5M remaining) and 2020 ($25.1M remaining) SAVE bonds totaling $28625000. Firm name absent from text extract.,,
College CSD (Prairie),2023,CPA firm Moline IL (name not in text extraction),2024-01-31,unmodified,,71111767,72308222,12687100,12210480,132450,2567605,18.01,-1.68,,,67027470,119710000,59339000,184927,28785502,7201235,65528029,6161666,-21105120,20488378,15329079,0,N,N,Y,No findings Part II-III; single audit unmodified,N,Medium,Certified enrollment not stated in text. IV-H-23 enrollment variance finding (repeat of IV-H-22 not corrected) - statutory. Revenue bonds jumped to $59339000 due to new $33M issuance during year. Lease $85375 + SBITA $99552 = $184927 combined. Capital additions = $23948866 CIP increases + $4836636 depreciable increases = $28785502. Cash = govt $63172710 + BTA $3854760. OPEB (govt) $15329079. Firm name absent from text extract.,,
College CSD (Prairie),2024,CPA firm Moline IL (name not in text extraction),2025-02-20,unmodified,,71926575,75383474,9206351,8733156,139020,2633213,12.80,-4.80,,,38354559,112900000,56999000,53701,95587650,8934688,30096106,6781646,-21707696,23725450,10513302,0,N,N,Y,No findings Part II-III; single audit unmodified,N,Medium,Certified enrollment not stated in text; IV-H-24 enrollment variance (repeat of IV-H-23 not corrected) + IV-I supplementary weighting variances (statutory). Large capital activity: CIP additions $29451653 + depreciable additions $66135997 = $95587650 (large buildings transfer as new school completed). CIP decreased from $65.5M to $30.1M. Revenue bonds $56999000 (down from $59339000). Lease $43114 + SBITA $10587 = $53701. OPEB (govt) $494297 current + $10019005 LT = $10513302. Firm name absent.,,
College CSD (Prairie),2025,CPA firm East Moline IL (name not in text extraction),2026-02-16,unmodified,,75702538,79645682,5215707,4684712,125581,2063974,6.53,-5.21,,,56454829,149125000,54604000,1375158,64974294,11149724,19161018,6712925,-31099586,19089500,9924986,1,N,Y,Y,No findings Part III; single audit unmodified,N,Medium,Certified enrollment not stated in text; IV-H-25 enrollment variance (repeat of IV-H-24 not corrected - statutory). Finding 2025-001: significant deficiency - insufficient segregation of duties over payroll cycle (not a repeat of 2021-001). GO bonds increased $36.2M due to new $43M issuance for continuing construction program. Capital additions = $24561836 CIP increases + $40412458 depreciable increases = $64974294. Revenue bonds $49000000 + private placement $5604000 = $54604000. Lease $1369667 + SBITA $5491 = $1375158 (equipment note $854889 excluded per field definition). OPEB (govt) $494297 + $9430689 = $9924986. Firm name absent from text extract.,,
Davenport CSD,2020,"Bohnsack & Frommelt, Certified Public Accountants","December 18, 2020",unmodified,14470,191199787,183013826,25454380,19897473,,7368697,10.82,4.28,,,52206206,,7980000,,14494897,12076126,4393664,15604743,-55648330,91096437,12698837,6,Y,Y,Y,2020-005 MW payroll monitoring ESSER; 2020-006 SD nutrition reconciliation,Y,Medium,GF cash only (pooled cash and investments shown as $52.2M GF per balance sheet); capital additions = CIP increases + depreciable asset increases; no Assigned GF balance present; salaries/benefits not separately stated by object in GF statements (approx 84% per MD&A); AEA is pass-through shown as GF expenditure,551,13214
Davenport CSD,2021,"Bohnsack & Frommelt, Certified Public Accountants","January 25, 2022",unmodified,14412,194639365,191417781,28499620,22312601,,7392144,11.92,1.66,,,49276837,,5770000,,9954331,12444796,424735,14910295,-54474215,102530339,10577188,8,Y,Y,Y,2021-005 MW allowable costs ESSER; 2021-006 SD nutrition reconciliation; 2021-007 NC unallowable costs ESSER $540K; 2021-008 NC Title I test security,Y,Medium,Certification enrollment per October 2020 count 14412; GF cash per balance sheet; capital additions = CIP + depreciable additions; no Assigned GF balance; salaries/benefits not stated by object; qualified federal opinion on ESSER programs,400,13505
Davenport CSD,2022,"Bohnsack & Frommelt, Certified Public Accountants","December 16, 2022",unmodified,14166,202274754,195608139,35293803,31864061,,7364149,16.35,3.3,,,54415534,,3505000,,1795740,12830801,575781,17490904,-25887735,1980038,9926312,7,Y,Y,Y,2022-003 and 2022-004 SD; 2022-005 thru 007 NC federal,Y,Medium,Enrollment per statistical section 14166; GASB 87 and 96 not yet adopted in FY2022 (forthcoming); IPERS NPL dropped dramatically to $1.98M due to GASB measurement year shift; no Assigned GF balance; seven IC+compliance findings,247,14279
Davenport CSD,2023,"Bohnsack & Frommelt, Certified Public Accountants","December 18, 2023",unmodified,13786,220539091,201686938,50668239,46354674,,7351527,21.74,8.55,,,65308906,,1180000,265227,9091950,11948455,4252402,19740392,4002289,52623263,8161002,3,N,Y,Y,2023-002 SD ESF pre-approval monitoring; 2023-003 NC overcharged indirect costs ESF $94K,Y,High,SAVE rev bonds = $1.18M remaining (paid off FY2024); GASB 87/96 first year; lease/SBITA: lease $93975 + IT sub $171252 = $265227 (govt only); IPERS NPL $52.6M; no material weakness; two IC+compliance findings + one noncompliance federal,86,15997
Davenport CSD,2024,"Bohnsack & Frommelt LLP, Certified Public Accountants","November 11, 2024",unmodified,13574,232193237,214069537,56660994,51735493,,7173151,22.99,7.81,,,71641316,,75900000,197848,36917386,12027989,17962754,18659770,19900042,56967543,8604005,2,N,Y,Y,2024-002 NC overcharged indirect costs Child Nutrition $49K,Y,High,Enrollment per stat table 13574 (MD&A says approximately 13786 which was FY2023 figure reused in error); $75.9M new SAVE revenue bonds issued March 2024; lease/SBITA: lease $57992 + IT sub $139856 = $197848; capital additions large due to building program; two findings,5592,17106
Davenport CSD,2025,"Bohnsack & Frommelt LLP, Certified Public Accountants","November 24, 2025",unmodified,13370,197021300,201929149,51155858,46050819,,6003311,24.11,-2.49,,,79767611,,74000000,101695,66997389,12317947,49245037,18234760,-9321791,44627024,9078442,0,N,N,Y,no single audit findings,Y,High,No internal control or federal findings - clean audit; GASB 101 emphasis paragraph; enrollment 13370; large CIP $49.2M reflects active building program; save bonds $74M outstanding; lease/SBITA = lease $20731 + IT sub $80964 = $101695; compensated absences restated beginning balance $32.2M due to GASB 101,5535,14736
Des Moines Independent CSD,2020,RSM US LLP,2021-01-11,unmodified,32545,460327437,432741578,125060027,91410321,2374122,15108730,21.07,5.99,,,264827969,,174670000,,29242369,14688512,59994855,33985178,-121062299,195716762,48332108,2,N,N,Y,No single audit findings,Y,High,Enrollment=Oct 2019 count; AEA flowthrough per GF expenditure line; solvency=(unassigned+assigned)/(GF rev-AEA); SAVE rev from statutory schedule; cash=SNP govt activities cash+restricted; capital additions=CIP additions 25806900+depreciable additions 3435469; GO bonds: none identified in debt notes - only revenue bonds; salaries+benefits not broken out at object level in GF; repeat finding: IV-G enrollment variance carried from 19-IV-G and IV-M deficit carried from prior year,5367,14144
Des Moines Independent CSD,2021,RSM US LLP,2021-12-17,unmodified,31622,508163078,450242429,184265129,151959117,2374122,15424026,31.32,11.40,,,270686421,,158015000,,91301580,15075261,13147599,32556765,-75317080,208605541,41933409,2,N,N,Y,No single audit findings,Y,High,Enrollment=Oct 2020 count; large capital additions in 2021 due to school renovation completions (67M+ of CIP transferred to buildings); capital additions=CIP additions 21135160+depreciable additions 70166420; repeat finding: IV-G enrollment and IV-M deficit carried from 2020; SAVE bonds reduced by refunding; cash=SNP govt activities 267280325+restricted 3406096,4997,16070
Des Moines Independent CSD,2022,RSM US LLP,2022-11-29,unmodified,31024,459373498,465845285,179845901,154372935,2331042,15405608,35.30,-1.41,,,325459655,,132600000,5984721,49909507,19885595,9918962,38218634,-38233173,43645345,41254939,2,N,N,Y,No single audit findings,Y,High,Enrollment=Oct 2021 count; GASB 87 leases implemented July 1 2021 (restated); lease liability ending 5984721 no SBITA; NPL dropped sharply due to favorable IPERS actuarial results; capital additions=CIP additions 21259523+depreciable 28649984; cash=SNP govt activities 321849087+restricted 3610568; depreciation includes amortization of lease assets 3710288,4274,14807
Des Moines Independent CSD,2023,RSM US LLP,2024-03-22,unmodified,30774,488691573,486633749,184326862,160586811,2703026,15350173,34.50,0.42,,,332483952,,116155000,2531196,56251380,20921650,27578738,42571605,-20898432,148711899,40167567,4,N,Y,Y,Finding 2023-002: Child Nutrition Cluster reporting significant deficiency (cyber incident impact),Y,High,Enrollment=Oct 2022 count (school year 2022-23); Finding 2023-001 IT ransomware attack (SD at financial statement level new); Finding 2023-002 SD federal Child Nutrition reporting (new); IV-C travel finding approx 35000 in questionable expenses (new); IV-G enrollment variance (repeat of IV-G-22); SBITA adopted per GASB 96; lease+SBITA=2445010+86186; SAVE rev=local option 42571605; NPL rebounded as actuarial assumptions reset; repeat_finding=Y because IV-G-23 enrollment variance is repeat of IV-G-22,3774,15880
Des Moines Independent CSD,2024,RSM US LLP,2025-01-17,unmodified,30802,478241184,491327193,175410005,154171736,2801633,15358170,33.91,-2.74,,,332563018,,98880000,1059228,59559852,20587633,30443044,40540358,-23663082,166329668,43705777,1,N,Y,N,No federal single audit findings,Y,High,Enrollment=Oct 2023 certified (2023-24 school year); Finding 2024-001 SD: open enrollment payments not recorded in correct period (audit adjustment $6.1M GF); lease=884798+SBITA=174430; capital additions=CIP 28587198+depreciable 30972654; cash=SNP govt 328241204+restricted 4321814; SAVE rev=local option 40540358; repeat finding=N (2023 findings corrected),3210,15526
Des Moines Independent CSD,2025,RSM US LLP,2026-03-04,unmodified,30836,470207346,517163529,131879126,113882199,1444973,12791800,25.21,-9.99,,,308190138,,80825000,1581384,81836041,19741499,10114879,40741153,-69633994,123424591,40097415,3,Y,N,N,No federal single audit findings,Y,High,Enrollment=fiscal year 2025 (Oct 2024 count); Finding 2025-001 MW: OPEB liability allocated entirely to govt activities since GASB 75 adoption - should have been split with enterprise funds (restatement required); IV-A budget overage finding (support services and noninstructional exceeded certified budget); IV-N deficit balance finding (School Nutrition and Child Care funds); OPEB restated; lease=483616+SBITA=1097768; capital additions=CIP 26468350+depreciable 55367691; SAVE bonds decreasing toward payoff; AEA flowthrough dropped sharply (legislative change effective FY2025); cash=SNP govt 303622611+restricted 4567527,2621,15249
Dubuque CSD,2020,Jim Kircher & Associates PC,2020-12-14,unmodified,10489.0,132171981,132654280,18125154,16524327,0,5239713,13.02,-0.36,113419409,85.5,61693452,0,63148000,,20407472,7474220,1212532,10810216,-51541272,59510658,12041969,0,N,N,Y,no findings - low-risk auditee,N,High,"SAVE rev bonds = all revenue bonds ($63.1M); no GO bonds; sal+ben computed from MD&A 85.5% pct; gf_assigned=0 (none on balance sheet); cash+invest = govtl activities only ($61.7M); capital additions = increases to depreciable assets $19,244,588 + CIP net increase $1,162,884 - wait depreciable additions only; CIP end=$1,212,532; repeat finding = IV-H enrollment variance recurs from prior audit; 2020 statutory findings include IV-H (enrollment variances) and IV-I (supplementary weighting variances)",6020,12601
Dubuque CSD,2021,Jim Kircher & Associates PC,2021-12-13,unmodified,10309.9,145074388,137835817,24931146,23065023,0,5445421,16.52,4.99,116195594,84.3,63584554,0,57389000,,8170225,7681216,3840957,10470364,-43081254,72141476,13354387,0,N,N,Y,no findings - low-risk auditee; major program = Education Stabilization Fund (CFDA 84.425),N,High,"SAVE rev bonds = all revenue bonds ($57.4M); no GO bonds; sal+ben computed from MD&A 84.3% pct; cash+invest = govtl activities ($63.6M); capital additions = depreciable increases $4,496,775 + CIP net $2,628,425; repeat finding = IV-H enrollment variance and IV-I supplementary weighting (both recurring from 2020); 2021 GF unassigned confirmed $23,065,023 from balance sheet (statistical table label appears transposed)",5566,14071
Dubuque CSD,2022,Jim Kircher & Associates PC,2022-12-12,unmodified,10120.3,149213189,144537665,30277495,28035617,0,5483327,19.51,3.13,120255337,83.2,98669437,0,82336000,,15998172,7614671,17286318,12440309,-30669234,1367831,10876570,0,N,N,Y,no findings under UG Sec 200.516 - low-risk auditee,N,High,"SAVE rev bonds = all revenue bonds ($82.3M incl refunding bonds); GASB 87 implemented - no leases; no GO bonds; sal+ben computed from MD&A 83.2% pct; cash+invest = govtl activities ($98.7M); capital additions = depreciable $1,707,683 + CIP increases $14,290,489; statutory finding 2022-A = certified budget exceeded in other services; IV-H enrollment variance recurring; FY2022 NPL restated to $1.4M from $72M due to IPERS allocation change",8136,14744
