district,fiscal_year,total_assets,total_deferred_outflows,total_liabilities,total_deferred_inflows,net_invest_capital_assets,restricted_net_position,unrestricted_net_position,total_net_position,construction_commitments,authorized_unissued_debt,debt_service_next_fy,total_future_debt_service,notes
Burlington CSD,2024,174543539,5925260,72901786,17859225,67003487,26407638,-3703337,89707788,13416285,,,,Construction contracts totaling $45377337; costs incurred $31961052; remaining = $13416285; no authorized unissued GO debt found; debt maturity schedule not extracted for non-latest years
Burlington CSD,2025,171799016,3810222,64828064,18581653,67836980,28476879,-4114338,92199521,14391764,,3631275,56270100,Construction contracts totaling $55396134; costs incurred $41004370; remaining = $14391764; deferred outflows = pension only (OPEB liability fully eliminated FY2025); no authorized unissued GO debt found; debt service FY2026: revenue bonds P+I $3478850 plus lease P+I $152425 = $3631275; total future debt service: revenue bonds $55660400 plus leases $609700 = $56270100; revenue bonds are SAVE (statewide sales/services/use tax) bonds only - no GO bonds outstanding
Cedar Rapids CSD,2020,423042523,45302617,280157196,119314509,118636016,25946646,-75709227,68873435,22842385,,,,Restricted = sum of categorical funding 2461725 + student activities 1623082 + PPEL 11978376 + school infrastructure 9883463. Construction commitments: PPEL 2276100 + SAVE 20566285. Debt schedule figures are latest-year-only fields; not populated for non-latest years. No GO bonds found; district uses SAVE revenue bonds only.
Cedar Rapids CSD,2021,446686508,46736829,298708628,111537040,114188684,27306978,-58317993,83177669,41880682,,,,Restricted = categorical 2133679 + student activities 1751619 + PPEL 14085890 + school infrastructure 9335790. Construction commitments: PPEL 39078084 + SAVE 2802598. Debt schedule figures are latest-year-only fields; not populated for non-latest years.
Cedar Rapids CSD,2022,445458466,32708870,164595944,197461868,94410965,34335610,-12637051,116109524,7132354,,,,Restricted = categorical 9203218 + student activities 2192617 + PPEL 13187802 + school infrastructure 9751973. Construction commitments: PPEL 4688470 + SAVE 2443884. Debt schedule figures are latest-year-only fields; not populated for non-latest years.
Cedar Rapids CSD,2023,470726456,27921552,234053165,120494675,124103974,43645932,-23649738,144100168,28542891,,,,Restricted = categorical 3955848 + student activities 2057117 + PPEL 11318871 + school infrastructure 26314096. Construction commitments: PPEL 3303849 + SAVE 25239042. Debt schedule figures are latest-year-only fields; not populated for non-latest years.
Cedar Rapids CSD,2024,495013087,35854287,254689117,112902020,120384505,52275310,-9383578,163276237,4697258,,,,Restricted = categorical 4985955 + student activities 2103448 + PPEL 14290915 + school infrastructure 30894992. Construction commitments: PPEL 2382515 + SAVE 2314743. Debt schedule figures are latest-year-only fields; not populated for non-latest years.
Cedar Rapids CSD,2025,513077478,26849560,245238046,114925718,131032401,50194820,-1463947,179763274,89102234,,13989960,152447931,Restricted = categorical 4034976 + student activities 1926493 + PPEL 5923318 + school infrastructure 38310033. Construction commitments: PPEL 2450736 + SAVE 86651498. No voter-approved-but-unissued GO debt found; district uses SAVE revenue bonds only (no traditional GO bonds). Debt service next FY (2026): revenue bonds 13519910 + leases 470050 = 13989960. Total future debt service: revenue bonds 151977881 + leases 470050 = 152447931. Note: GASB 101 restatement reduced opening 2025 net position by 7945617; FY2025 ending balance reported as stated.
College CSD (Prairie),2020,241369535,9669897,181738036,40863641,53980693,5110633,-30653571,28437755,,,,,No construction commitment note found in FY2020 (Note 14 covers only federal/state program contingencies); no authorized-unissued debt disclosed; debt maturity schedule not extracted (not latest year)
College CSD (Prairie),2021,280464757,11700689,217494166,40895461,50539142,14441505,-31204828,33775819,36972520,,,,"Construction commitment: $131,498,009 total contracts less $94,525,489 incurred = $36,972,520 remaining per Note 11; debt maturity schedule not extracted (not latest year)"
College CSD (Prairie),2022,293251567,8527360,183352573,72116227,54318933,16006968,-24015774,46310127,14815629,,,,"Construction commitment: $63,094,947 total contracts less $48,279,318 incurred = $14,815,629 remaining per Note 11; debt maturity schedule not extracted (not latest year)"
College CSD (Prairie),2023,326294793,8358637,228181015,47986839,58903674,20687022,-21105120,58485576,25765729,,,,"Construction commitment: $91,293,758 total contracts less $65,528,029 incurred = $25,765,729 remaining per Note 23 Note 11; debt maturity schedule not extracted (not latest year)"
College CSD (Prairie),2024,324621850,11493902,216502885,53693684,59863011,27763868,-21707696,65919183,4972173,,,,"Construction commitment: $71,606,631 total contracts less $66,634,458 incurred = $4,972,173 remaining per Note 11; debt maturity schedule not extracted (not latest year)"
College CSD (Prairie),2025,364914533,9092962,255320344,56119484,66814747,26852506,-31099586,62567667,24552559,,16290306,279054755,"Construction commitment: $107,804,430 total contracts less $83,251,871 incurred = $24,552,559 remaining per Note 11; no voter-approved unissued GO debt disclosed; debt_service_next_fy (FY2026) = GO $11566463 + SAVE-public $2974625 + SAVE-private $1264602 + equipment note $302637 + lease $176378 + IT subscription $5601; total_future_debt_service includes GO bonds + SAVE/revenue bonds (public+private) + equipment note + lease + IT subscription; early retirement and compensated absences excluded as non-bond obligations"
Davenport CSD,2020,371902227,27261913,154971720,84749958,182499308,32591484,-55648330,159442462,1305772,,,,Govt-activities col; restricted = sum of 6 components (categorical 5355060 + mgmt levy 5495593 + PPEL 6102955 + school infra 12903784 + debt svc 2005206 + student act 728886); construction commitment = remaining unpaid/unaccrued under signed contracts per Note 10; debt maturity schedule fields are latest-year only
Davenport CSD,2021,384733665,27005864,159492439,81922487,175539233,49259585,-54474215,170324603,130887,,,,Govt-activities col; restricted = sum of 6 components (categorical 5867593 + mgmt levy 6300722 + PPEL 10182263 + school infra 24133022 + debt svc 2018160 + student act 757825); construction commitment = remaining per Note 10; debt maturity schedule fields are latest-year only
Davenport CSD,2022,402291205,17680179,55569607,159135724,166631233,64522555,-25887735,205266053,385774,,,,Govt-activities col; restricted = sum of 6 components (categorical 3094298 + mgmt levy 7537996 + PPEL 13597986 + school infra 37415345 + debt svc 2028504 + student act 848426); construction commitment = remaining per Note 10; debt maturity schedule fields are latest-year only
Davenport CSD,2023,427251343,16475351,103573346,92501771,163816080,79833208,4002289,247651577,10172143,,,,Govt-activities col; restricted = sum of 6 components (categorical 3929833 + mgmt levy 7684664 + PPEL 16038885 + school infra 50061173 + debt svc 1203600 + student act 915053); construction commitment = remaining per Note 10; debt maturity schedule fields are latest-year only
Davenport CSD,2024,534531349,23929293,194211034,82547435,168135611,93666520,19900042,281702173,28330000,,,,Govt-activities col; restricted = sum of 6 components (categorical 4591472 + mgmt levy 10189489 + PPEL 16988120 + school infra 54236135 + debt svc 6688724 + student act 972580); construction commitment approx (note used round thousands); debt maturity schedule fields are latest-year only
Davenport CSD,2025,537850957,19153602,211521649,82649970,174324303,97830428,-9321791,262832940,75243584,,6133050,110382200,Govt-activities col; restricted = sum of 6 components (categorical 4867602 + mgmt levy 12365502 + PPEL 18196438 + school infra 54782101 + debt svc 6645788 + student act 972997); construction commitment = remaining per Note 10; authorized_unissued_debt blank - no GO bonds outstanding per Note 5 (line 3024 states District held no outstanding GO debt) and no voter-approved unissued GO bonds disclosed; debt_service_next_fy = FY2026 P+I on Series 2024 SAVE revenue bonds ($2550000 principal + $3583050 interest); total_future_debt_service = total P+I on Series 2024 revenue bonds only (no GO bonds); $80M bond sold March 2025 is a Series 2025 revenue bond but did NOT appear on June 30 2025 balance sheet (actual proceeds = $0 per budget comparison note - budgeted $80M vs $0 actual); a second revenue bond sale planned in FY26 but not yet authorized/disclosed as specific amount
Des Moines Independent CSD,2020,1033831193,79242594,506550880,225303304,424580383,77701519,-121062299,381219603,12194593,,,,Governmental activities only. Construction commitment from Note 7. Debt maturity schedule and authorized unissued debt not reported for this year (latest-year-only fields). SAVE revenue bonds outstanding; no GO bonds. Restricted confirmed by summing 9 sub-components.
Des Moines Independent CSD,2021,1090867449,80090246,498158436,217012394,431069588,100034357,-75317080,455786865,14200000,,,,Governmental activities only. Construction commitment approx $14.2M from Note 7. Debt maturity schedule and authorized unissued debt not reported for this year (latest-year-only fields). Net pension asset reclassified to restricted in 2021.
Des Moines Independent CSD,2022,1119704105,76164353,321517484,345135176,454935481,112513490,-38233173,529215798,9298000,,,,Governmental activities only. Construction commitment approx $9.3M from Note 7. Deferred outflows exclude refunding charge (no GO bonds at year-end 2022; SAVE bonds only). Large decrease in liabilities/increase in deferred inflows driven by GASB 68 pension remeasurement.
Des Moines Independent CSD,2023,1142408127,43782843,412167687,200179446,487674391,107067878,-20898432,573843837,10991000,,,,Governmental activities only. Construction commitment approx $10.99M from Note 7. GASB 96 restatement increased beginning net position by $401182.
Des Moines Independent CSD,2024,1146746984,55485905,411428994,185233216,523562681,105671080,-23663082,605570679,5793000,,,,Governmental activities only. Construction commitment approx $5.793M from Note 7. No GO bonds outstanding; SAVE revenue bonds only.
Des Moines Independent CSD,2025,1132523067,39580596,388474761,193379772,559019759,100863365,-69633994,590249130,13494000,265000000,22587843,90289272,Governmental activities only. Construction commitment approx $13.494M from Note 7. Authorized unissued GO debt: $265M approved Nov 4 2025 voter referendum (none yet issued as of report date). Debt service next FY (2026) = $22098625 SAVE bonds + $157435 leases + $331783 SBITA = $22587843. Total future debt service = $88589375 SAVE bonds + $524014 leases + $1175883 SBITA = $90289272 (SAVE revenue bonds only; no GO bonds issued). GASB 101 restatement decreased beginning net position by ~$23.3M causing reported ending net position drop despite $20.9M operational increase.
Dubuque CSD,2020,291372074,21330151,154850993,74337778,103938349,31116377,-51541272,83513454,3205372,,,,"Restricted = sum of 6 components (categorical 1259028 + student activities 810964 + management levy 6908479 + PPEL 5260071 + capital projects 9157193 + debt service 7720642). Construction commitments: 3 contracts outstanding (Senior HS arch $1,851,990 + Alta Vista voc $1,072,382 + Hempstead Kitchen $281,000). No GO bonds; SAVE revenue bonds only. Debt schedule and authorized-unissued-debt not extracted for non-latest years."
Dubuque CSD,2021,299418099,20915508,162983324,63840167,103262388,33328982,-43081254,93510116,28096490,,,,"Restricted = sum of 7 components (categorical 1493676 + scholarships 144031 + student activities 817330 + management levy 6587744 + PPEL 6535515 + capital projects 8864209 + debt service 8886477). Construction commitments: 6 contracts outstanding (Senior HS arch $587,973 + admin arch $200,000 + Senior renovations $26,492,983 + AV project $253,000 + Central Kitchen oven $221,585 + Hempstead intercom $340,949). No GO bonds. Debt schedule and authorized-unissued-debt not extracted for non-latest years."
Dubuque CSD,2022,338566175,14481087,116543648,116704292,91509038,58959518,-30669234,119799322,18288177,,,,"Restricted = sum of 7 components (categorical 1872873 + scholarships 131481 + student activities 816518 + management levy 7565509 + PPEL 7427851 + capital projects 32243588 + debt service 8901698). Construction commitments: 6 contracts outstanding (Senior HS arch $410,700 + admin arch $137,647 + Senior renovations $15,721,511 + AV project $126,619 + Hempstead Kitchen $448,000 + Central Kitchen Mechanical $1,443,700). No GO bonds. Debt schedule and authorized-unissued-debt not extracted for non-latest years."
Dubuque CSD,2023,339549755,13081974,147308552,69876783,103935454,56092377,-24581437,135446394,10471725,,,,"Restricted = sum of 7 components (categorical 1801099 + scholarships 126343 + student activities 799672 + management levy 9755172 + PPEL 8542173 + capital projects 26554194 + debt service 8513724). Construction commitments: 9 contracts outstanding totaling $10,471,725. Note 12 (subsequent event): $150M GO bond referendum failed in Nov 2023 - not authorized/unissued. No GO bonds issued. Debt schedule and authorized-unissued-debt not extracted for non-latest years."
Dubuque CSD,2024,340651838,19624447,146763720,64253162,116033206,56579355,-23353158,149259403,3633381,,,,"Restricted = sum of 7 components (categorical 1743879 + scholarships 127782 + student activities 831984 + management levy 18766847 + PPEL 6962739 + capital projects 18699294 + debt service 9446830). Construction commitments: 10 contracts outstanding totaling $3,633,381 (note: one contract [FFE $237,918 less $44,351 CO = $193,567] appears fully paid/overpaid; treated as $0 remaining). No GO bonds. Debt schedule and authorized-unissued-debt not extracted for non-latest years."
Dubuque CSD,2025,361932600,14766676,151505073,67689664,108071535,71115503,-21682499,157504539,13509521,,8958075,107868107,"Restricted = sum of 7 components (categorical 1277678 + scholarships 124469 + student activities 849872 + management levy 21424869 + PPEL 5667755 + capital projects 31971779 + debt service 9799081). Construction commitments: 6 contracts outstanding totaling $13,509,521 (Irving Mech arch $377,685 + Eisenhower Gym arch $92,175 + Roosevelt repaving $21,047 + Marshall Playground $142,475 + Irving Mechanical $5,747,436 + Eisenhower Gym $7,128,703). No voter-approved unissued GO bonds (district uses SAVE revenue bonds only; no GO bonds outstanding; constitutional limit ~$471.9M). debt_service_next_fy = FY2026 principal+interest from summary schedule ($8,703,544 bonds + $254,531 IT subscription = $8,958,075). total_future_debt_service = $107,104,516 (bonds per summary) + $763,591 (IT subscription) = $107,868,107; SAVE revenue bonds only - no GO bonds included."
Iowa City CSD,2020,718374146,25226524,409245458,122581273,269334048,8284684,-65844793,211773939,57254414,,,.,Govt-activities col only; restricted=sum of 5 sub-components (cap impr+debt svc+fed/state+mgmt levy+student act); authorized_unissued and debt_service_next_fy not extracted for FY2020 per instructions (FY2023-only fields)
Iowa City CSD,2021,681208343,27177732,405959510,114877040,234857308,4523663,-51831446,187549525,13821895,,,.,Govt-activities col only; restricted=sum of 3 sub-components; authorized_unissued and debt_service_next_fy not extracted for FY2021 per instructions (FY2023-only fields); FY2021 beginning net position restated per Note 18 (construction-in-progress error correction)
Iowa City CSD,2022,675572240,17682718,288404195,189590133,242903354,13993644,-41636368,215260630,15413159,,,.,Govt-activities col only; restricted=sum of 4 sub-components (debt svc+cap projects+fed/state+student act); authorized_unissued and debt_service_next_fy not extracted for FY2022 per instructions (FY2023-only fields)
Iowa City CSD,2023,790276561,20189068,444873169,131109307,245153777,25183021,-35853645,234483153,63791000,0,28270457,417324457,Govt-activities col only; restricted=sum of 3 sub-components (cap projects 21662746+fed/state 3488724+student act 31551); authorized_unissued=0: the 2017 referendum for $191525000 was fully issued in 3 tranches ($58955K+$66645K+$65925K=191525K) leaving no voter-approved unissued GO balance; debt_service_next_fy=FY2024 principal+interest across GO bonds ($7445K+$5719K) + capital loan notes ($920K+$40K) + sales tax rev bonds ($8805K+$5342K); total_future_debt_service=GO ($202056125)+CLN ($1925926)+SAVE/sales-tax rev bonds ($213342406) per summary table Note 6; construction commitments of $63791000 reflect SAVE-funded Facilities Master Plan 2.0 middle school conversion projects
Johnston CSD,2020,305959829,10408330,154097029,52306107,99309022,26824464,-16168463,109965023,375161,,,,Source: Exhibit A FY2020. Construction commitment: $1595869 total contracts less $1220708 incurred = $375161 balance (2 remodel projects). Debt schedules not extracted for non-latest years.
Johnston CSD,2021,314853708,10512669,151773906,49781034,103892118,34875046,-14955727,123811437,,,,,Source: Exhibit A FY2021. No construction commitment note found in FY2021 audit.
Johnston CSD,2022,301983047,7091003,76367906,84657640,132695184,19037053,-3683733,148048504,,,,,Source: Exhibit A FY2022. No construction commitment note. NOTE: FY2022 MD&A condensed shows deferred outflows 9171675 and deferred inflows 86738312 vs Exhibit A figures used here (7091003 and 84657640); Exhibit A used as authoritative. Large liability drop from FY2021 due to GASB 68 pension re-measurement reducing NPL from ~$42M to ~$836K.
Johnston CSD,2023,284520229,6759804,78553094,42392019,148430855,21665369,238696,170334920,,,,,Source: Exhibit A FY2023. No construction commitment note. Unrestricted turned positive for first time in series.
Johnston CSD,2024,293548954,10797376,81759067,44448526,150324908,28620912,-807083,178138737,2098479,,,,Source: Exhibit A FY2024 as originally reported. Note: FY2025 audit restated FY2024 net position to $173417072 per GASB 101 (compensated absences). Commitment: $4507631 total contracts less $2409152 paid = $2098479 remaining.
Johnston CSD,2025,297874925,8633875,78343054,48967486,155492938,30582206,-6876884,179198260,3338204,,5247498,29059736,Source: Exhibit A FY2025. Commitment: $7312196 total contracts less $3973992 paid = $3338204 remaining. No GO bonds outstanding; debt_service_next_fy and total_future_debt_service = revenue bonds (SAVE) only per total revenue bonds schedule (FY2026 first year $5247498; all-years total $29059736 per note). No voter-approved unissued GO debt disclosed. authorized_unissued_debt left blank.
Linn-Mar CSD,2020,305121245,11982522,206858345,48860481,83108503,10666215,-32389777,61384941,12035439,,,,Restricted sum verified: Cat 1142203+DS 712711+SI 3231026+PPEL 2193251+Mgmt 1997348+StAct 739773+PEARL 649903=10666215; construction commitment: $61622786 total contracts costs incurred $49587347 remaining $12035439; authorized_unissued_debt not disclosed; debt_service_next_fy and total_future_debt_service only extracted for latest year
Linn-Mar CSD,2021,296459086,12441293,196853182,45257080,84736354,13640492,-31586729,66790117,128675,,,,Restricted sum: Cat 734927+DS 864589+SI 4415639+PPEL 5037518+Mgmt 1580999+StAct 727690+PEARL 279130=13640492; construction commitment: $3073864 total contracts costs incurred $2945189 remaining $128675; authorized_unissued_debt not disclosed; debt_service_next_fy and total_future_debt_service only extracted for latest year
Linn-Mar CSD,2022,286196968,9573386,133984872,83246362,89775215,12690386,-23926481,78539120,2541553,,,,Restricted sum: Cat 431575+DS 346134+SI 5302921+PPEL 3926863+Mgmt 1443079+StAct 804718+PEARL 435096=12690386; construction commitment: $3716426 total contracts costs incurred $1174873 remaining $2541553; authorized_unissued_debt not disclosed; debt_service_next_fy and total_future_debt_service only extracted for latest year; FY2022 net position restated in FY2023 ACFR for GASB 96 implementation
Linn-Mar CSD,2023,302270534,9739442,174159470,50521332,95530955,14846661,-23048442,87329174,13266136,,,,Restricted sum: Cat 446035+DS 347991+SI 6207627+PPEL 4559680+Mgmt 2308569+StAct 854020+PEARL 122739=14846661; construction commitment: $15583959 total contracts costs incurred $2317823 remaining $13266136; authorized_unissued_debt not disclosed; debt_service_next_fy and total_future_debt_service only extracted for latest year; balance sheet total liabilities 174159470 per Statement of Net Position (MD&A condensed table shows 173494470 possibly reclassification)
Linn-Mar CSD,2024,320939303,14510743,187613910,50314023,97922225,20612776,-21012888,97522113,29809601,,,,Restricted sum: Cat 674025+DS 542598+SI 9559544+PPEL 6780355+Mgmt 2014470+StAct 1004117+PEARL 37667=20612776; construction commitment: $45048834 total contracts costs incurred $15239233 remaining $29809601; authorized_unissued_debt not disclosed; debt_service_next_fy and total_future_debt_service only extracted for latest year
Linn-Mar CSD,2025,335137190,10207125,195937158,52494716,102505104,24145990,-29738653,96912441,4521221,,13625369,155817334,Restricted sum: Cat 341792+DS 721121+SI 13840405+PPEL 6198408+Mgmt 1753558+StAct 1000716+PEARL 289990=24145990; construction commitment: $40055704 total contracts costs incurred $35534483 remaining $4521221; authorized_unissued_debt not disclosed in debt note or subsequent events; debt_service_next_fy=13625369 (GO 3430000+1998900 + RevBond 5705000+2491469 for FY2026); total_future_debt_service=155817334 (GO P+I 71618025 + Revenue Bond P+I 84199309) includes all GO bonds and SAVE/revenue bonds per schedules in Note 6; no capital loan notes outstanding at June 30 2025
Muscatine CSD,2020,100807272,6594072,49048326,23832474,56499125,6271838,-28250419,34520544,688129,,,,Restricted per components: categorical $431302 + mgmt levy $1939713 + PPEL $1513947 + student activities $277377 + school infra $2078181 + instructional $31318. Construction commitment: $688129 remaining on $9303309 in contracts. Debt: lease purchase only; future service through FY2022 = $944236 (not populated - not latest yr).
Muscatine CSD,2021,103560412,7444734,52988975,21546593,54644500,11260430,-29435352,36469578,1610824,,,,Restricted per components: categorical $520584 + mgmt levy $1624403 + PPEL $2698575 + student activities $311375 + school infra $6105493. Construction commitment: $1610824 remaining on $2415203 in contracts. Debt: lease purchase only; future service FY2022 only = $472118 (not populated - not latest yr).
Muscatine CSD,2022,108779431,4820819,21236225,45570692,54622845,15606772,-23436284,46793333,5140589,,,,Restricted per components: categorical $1022096 + mgmt levy $1932710 + PPEL $1286287 + student activities $326158 + school infra $11039521. Construction commitment: $5140589 remaining on $5839500 in contracts. Subsequent event: Board approved $32M SAVE bonds 8/8/2022; $15M Series 2022 issued 10/10/2022 post-balance-sheet. Equipment leases only on balance sheet at 6/30/2022; future service $215877 (not populated - not latest yr).
Muscatine CSD,2023,140859069,4739978,63092401,27303052,59954963,15349209,-20100578,55203594,8501993,,,,Restricted per components: categorical $1033931 + debt service $343458 + mgmt levy $1509700 + PPEL $1758727 + student activities $284876 + school infra $10418517. Construction commitment: $8501993 remaining on $17298706 in contracts. Revenue bonds $25M (Series 2022 + 2022B) outstanding. Total future debt service $28993552 (not populated - not latest yr). No voter-approved GO bonds disclosed.
Muscatine CSD,2024,144340762,7969196,65253454,26804152,62992542,14560581,-17300771,60252352,11284215,,,,Restricted per components: categorical $1055609 + debt service $343405 + mgmt levy $1583603 + PPEL $1925409 + student activities $252640 + school infra $9399915. Construction commitment: $11284215 remaining on $37552870 in contracts. Subsequent event: Board approved $4048000 Series 2024 SAVE bonds 8/26/2024. Total future debt service $25068085 (not populated - not latest yr). No voter-approved GO bonds. SAVE bonds are board-authorized revenue bonds not GO.
Muscatine CSD,2025,142945756,5905801,65555664,27580256,64082908,14322079,-22689350,55715637,2280700,2952000,4619501,25610621,"Restricted per components: categorical $1,196,107 + debt service $372,217 + mgmt levy $1,069,057 + PPEL $1,304,213 + student activities $304,254 + school infra $10,076,231. Construction commitment: balance remaining on $19,082,443 in contracts. authorized_unissued_debt = $32M board-authorized SAVE revenue bond capacity less $29,048,000 issued ($15M Series 2022 + $10M Series 2022B + $4,048,000 Series 2024) = $2,952,000 remaining (board-authorized not voter-approved GO). debt_service_next_fy = FY2026: rev bonds $4,466,605 + copier leases $152,896 = $4,619,501. total_future_debt_service = rev bonds $25,444,984 + copier leases $165,637 = $25,610,621. FY2025 net position restated from $60,252,352 (as reported FY2024) to $54,102,951 due to GASB 101 compensated absences implementation; current year total_net_position $55,715,637 is unaffected."
Pleasant Valley CSD,2020,160637264,8480771,88893642,26151550,57616352,9546788,-13090297,54072843,9474760,,,,Restricted sum: categorical 623430+mgmt levy 2269343+PPEL 1013+school infra 5629382+other special rev 742746+debt svc 280874=9546788. Construction per Note 13: $42646703 total contracts; $33171943 incurred; $9474760 remaining. authorized_unissued_debt/debt_service_next_fy/total_future_debt_service are latest-year-only fields.
Pleasant Valley CSD,2021,163431987,8724006,88159118,24762681,61834605,9520185,-12120596,59234194,79377,,,,Restricted sum: categorical 895985+mgmt levy 2195643+PPEL 335442+school infra 5023416+other special rev 780395+debt svc 289304=9520185. Construction per Note 13: $17471890 total contract; $17392513 incurred; $79377 remaining. Latest-year-only fields not populated.
Pleasant Valley CSD,2022,165090586,6461419,56397348,46681584,64294575,11617264,-7438766,68473073,1121133,,,,Restricted sum: categorical 1105162+mgmt levy 2254513+PPEL 1112002+school infra 6048833+other special rev 794541+debt svc 302213=11617264. Construction per Note 12: $1433308 total contract; $312175 incurred; $1121133 remaining. Latest-year-only fields not populated.
Pleasant Valley CSD,2023,170138441,6744141,68117932,28791566,69100013,15148892,-4275821,79973084,15824928,,,,Restricted sum: categorical 1224131+mgmt levy 3509025+PPEL 182+school infra 9243836+other special rev 783680+debt svc 388038=15148892. Construction per Note 12: $20462385 total contracts; $4637457 incurred; $15824928 remaining. Latest-year-only fields not populated.
Pleasant Valley CSD,2024,203085568,9586903,100470017,28159474,77032809,12373804,-5363633,84042980,24872762,,,,Restricted sum: categorical 1242038+mgmt levy 3934684+PPEL 639897+school infra 5565773+other special rev 792107+debt svc 199305=12373804. Construction per Note 12: $42027076 total contracts; $17154314 incurred; $24872762 remaining. Latest-year-only fields not populated.
Pleasant Valley CSD,2025,204578285,7491112,94784039,27015524,83402589,11334519,-4467274,90269834,10191525,,8118660,66831124,Restricted sum: categorical 998475+mgmt levy 4560106+PPEL 625818+school infra 4110067+other special rev 842902+debt svc 197151=11334519. Construction per Note 12: $43052891 total contracts; $32861366 incurred; $10191525 remaining. authorized_unissued_debt: blank - no voter-approved unissued GO debt disclosed in FY2025 audit. debt_service_next_fy=8118660: GO-2018 2267300+RB-2016 843014+RB-2017 1269575+RB-2018 2052534+RB-2024 1290150+lease P+I 64596+IT P+I 15555+equip note principal 315936 (equip note interest not separately scheduled; audit states full remaining balance paid FY2026). total_future_debt_service=66831124: GO 6798350+RB-2016 3374152+RB-2017 5114202+RB-2018 8158000+RB-2024 42811050+lease 212406+IT 47028+equip note principal 315936 (equip note interest excluded - no schedule provided).
Waterloo CSD,2020,290035675,19137186,164658658,51125681,104757255,37301579,-48670312,93388522,21784217,,,, Restricted sum: categorical 1931290+debt svc 16059127+school infra 14612692+PPE 2104792+student act 1221301+mgmt levy 1372377=37301579. Construction: new Lowell Elem and other projects per Note 14. Authorized-unissued GO debt not disclosed. Debt maturity schedule not extracted (not latest year).
Waterloo CSD,2021,321665003,19808913,199040836,42699408,98605122,41587651,-40459101,99733672,7647547,,,, Restricted sum: categorical 793868+debt svc 17640050+school infra 16678807+PPE 3722702+student act 1311985+mgmt levy 1440239=41587651. Construction: new Lowell Elem per Note 14. Authorized-unissued GO debt not disclosed. Debt maturity schedule not extracted (not latest year).
