district_code,district,fiscal_year,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,cash_and_investments,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,go_debt_outstanding,save_rev_bonds,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,auditor,report_date,opinion_type,confidence,notes,district_name_display,gf_assigned_plus_unassigned_sbrc,cash_reserve_levy_amount,max_cash_reserve_levy_capacity,sbrc_20pct_cap,unspent_authorized_budget,certified_enrollment,management_fund_balance,ppel_fund_balance,save_fund_balance,total_governmental_fund_balance,gf_assigned_plus_unassigned_aud,flag_audit_concern,conservative_reserve_ratio,practical_cushion_ratio,broad_cushion_ratio,operating_adjacent_ratio,conservative_days_cushion,practical_days_cushion,operating_adjacent_days_cushion,gf_cash_days,crl_reliance,crl_capacity_used_pct,crl_levy_headroom,uab_cushion,operating_result_pct,operating_result_3yr_avg,fb_drawdown_years,enrollment_3yr_trend,practical_days_cushion_pctile,uab_cushion_pctile,crl_reliance_pctile,flag_low_unrestricted,flag_negative_operating,flag_multiyear_drawdown,flag_weak_uab,flag_declining_enrollment,flag_high_crl_reliance,flag_limited_levy_headroom,flag_special_ed_pressure,flag_short_term_borrowing,risk_flag_count,cushion_band,risk_class,risk_rationale
882,Burlington CSD,2024,52605503,54871021,9739831,8571515,249146.0,57278196,17.41,-4.31,,,0.0,42080000,0.0,N,N,N,none - not low-risk auditee,N,Nolte Cornman & Johnson P.C.,2025-03-13,unmodified,High,Enrollment not explicitly stated for FY2024 (MD&A cites October 2024 = subsequent year); left blank. Revenue bonds $42080000. Lease liability $349723. No Parts II/III findings. Part IV: IV-H enrollment understated 0.50; IV-N student activity fund inactive accounts (repeat of 2023-N). Federal Covid funds depleted this year causing revenue drop. CIP $31.96M (high school project ongoing). Solvency dropped sharply as GF unassigned fell by $5M.,Burlington CSD,8819916.0,2778904.0,2778904.0,11598820.0,23999223.0,3860.2,,,,10039496.75,8820661.0,False,0.15621205590470058,0.16075263115661725,0.17750409637903403,,57.01740040521571,58.6747103721653,,381.01243897029,0.05064429182026702,1.0,0.0,0.43737518571050465,-0.04306617883684146,0.01947461571280943,2,-0.05516937536714316,0.6428571428571429,0.9285714285714286,0.5,False,True,True,False,True,False,True,False,False,4,Low,Moderate risk,59-day practical cushion; 4 risk flag(s)
882,Burlington CSD,2025,51101614,56049281,4834714,3921837,231114.0,42917040,8.4,-9.68,,,0.0,40335000,0.0,N,N,N,none - low-risk auditee,N,Nolte Cornman & Johnson P.C.,2026-02-26,unmodified,High,Enrollment not stated for FY2025 (MD&A cites October 2025 = subsequent year); left blank. OPEB liability fully eliminated per ICHRA implementation (retirees removed from District plan). Revenue bonds $40335000. Lease liability $531297 ($121204 current + $410093 non-current). AEA flowthrough decreased to $1649345 (Iowa AEA restructuring effective July 1 2024). GF fund balance down 50% from FY2024; solvency at lowest point in series. Capital additions $13.7M (high school project $41M CIP at year-end).,,,,,,,,,,,,4152951.0,False,0.06997122764161774,0.07409463468407382,0.08625826975371906,,25.539498089190477,27.044541659686942,,279.4811872787449,,,,,-0.09682017088540491,-0.02212800697923013,3,,0.2857142857142857,,,False,True,True,False,False,False,False,False,False,2,Moderate,Moderate risk,27-day practical cushion; 2 risk flag(s)
1053,Cedar Rapids CSD,2020,212205298,218169217,28580741,25003962,0.0,128940927,12.24,-2.81,176411513.0,80.86,2200000.0,106780461,4.0,N,N,Y,No single-audit findings (internal-control and compliance sections II and III both no matters reported). IV-G enrolled variances; IV-I deposits and investments (2 sub-findings); IV-M Daycare deficit (all statutory),Y,RSM US LLP,2021-01-18,unmodified,High,"Statutory IV findings: IV-G enrollment variances; IV-I deposits excess + investment rate sub-compliance (counted as 2); IV-M daycare deficit due to IPERS NPL. Daycare deficit finding repeats from prior year (2019). GF Assigned = 0 (the $2.05M shown in statistics is in SAVE fund). Capital additions = govtl only (14215 CIP + 2909846 depreciated) but note: net change in CIP was retirements/transfers; additions to depreciable assets = 2,909,846 + CIP additions 14,215 = 2,924,061. GF total fund balance includes nonspendable 976904 + restricted 2461725 + committed 138150 + assigned 0 + unassigned 25003962 = 28580741.",Cedar Rapids CSD,24096002.0,14010000.0,19703413.0,43799415.0,18033219.0,16963.2,7405256.22,11978377.02,36448510.24,98766604.84,25003962.0,False,0.11460811173924688,0.11460811173924688,0.13100262902809062,0.1485508297900707,41.831960784825114,41.831960784825114,54.221052873375804,215.71988478557907,0.06421620883389796,0.7110443251633612,5693413.0,0.08265702764107184,-0.028104477391511687,,0,,0.4,0.3333333333333333,0.6,False,True,False,False,False,False,False,False,False,1,Moderate,Moderate risk,42-day practical cushion; 1 risk flag(s)
1053,Cedar Rapids CSD,2021,224042625,221810281,33565350,30805268,0.0,129670361,14.26,1.00,178458675.0,80.46,0.0,108951461,2.0,N,N,Y,No federal single-audit findings (sections II and III no matters). IV-H enrollment variances (statutory); IV-N Daycare deficit (statutory - repeat from FY2020),Y,RSM US LLP,2022-01-14,unmodified,High,Enrollment variances finding (IV-H) and Daycare deficit finding (IV-N) are statutory Iowa findings counted. Daycare deficit repeat from FY2020. Capital additions govtl: CIP 20926476 + depreciable 2531077 = 23457553. SAVE revenue = statewide sales services and use tax receipt only (16827764 from statutory schedule). Large IPERS NPL increase ($19.9M addition) due to actuarial changes. GObonds fully retired in FY2021.,Cedar Rapids CSD,30508803.0,14050474.0,14050474.0,44559277.0,25628938.0,16851.5,7836833.34,14085890.66,36283011.17,106129511.08,30805268.0,False,0.1388811549271695,0.1388811549271695,0.15132459076592578,0.17421239973993813,50.69162154841686,50.69162154841686,63.58752590507742,213.37911638550244,0.06334455705414305,1.0,0.0,0.11554440977422503,0.00996392539142942,-0.009070276000041132,0,,0.4,0.26666666666666666,0.7333333333333333,False,False,False,False,False,False,True,False,False,1,Low,Low risk,51-day practical cushion; 1 risk flag(s)
1053,Cedar Rapids CSD,2022,232730672,228523828,37865195,28087999,0.0,116058725,12.5,1.81,180332506.0,78.91,0.0,100639461,1.0,N,N,N,No federal single-audit findings (sections II and III all no matters; section I shows x-No for all). IV-H enrollment variances only substantive statutory finding,Y,RSM US LLP,2022-12-07,unmodified,High,GASB 87 lease liability implemented (restated opening balance; equipment leases 2428708 beginning). Capital additions govtl: CIP 20981120 + depreciable 22177102 = 43158222 (note: land 298283 also added; total additions = 21279403+22177102=43456505). IPERS NPL dropped dramatically from 123.5M to 2.4M due to actuarial gain - large pension asset recognized. No daycare deficit finding this year (Daycare returned to positive). GF Assigned = 0 (SAVE assigned 2052460 in SAVE fund not GF). Cybersecurity incident noted July 2022 (post-period).,Cedar Rapids CSD,35754139.0,10053991.0,10053991.0,45808130.0,30603755.0,16236.8,9506985.05,11479475.43,19030563.71,95066217.34,28087999.0,False,0.12291059206307361,0.12291059206307361,0.16569473446768973,0.1645123153196961,44.86236610302187,44.86236610302187,60.04699509168908,185.36988022535664,0.04399537277136807,1.0,0.0,0.13391931715759636,0.018076018789650553,-2.1511070143904094e-05,0,,0.3333333333333333,0.3333333333333333,0.7333333333333333,False,False,False,False,False,False,True,False,False,1,Moderate,Moderate risk,45-day practical cushion; 1 risk flag(s)
1053,Cedar Rapids CSD,2023,235412324,229342377,42865536,38324951,0.0,137636852,16.85,2.58,178817627.0,77.97,0.0,102251461,2.0,N,Y,N,No federal single-audit findings (sections II and III: II has finding 2023-001 for GFS only). Finding 2023-001 = significant deficiency re prepaid expenditure recording,Y,RSM US LLP,2024-01-25,unmodified,High,Finding 2023-001 (significant deficiency - inadequate controls over prepaid expenditures) in financial statement section; not a federal finding. Uncorrected misstatements of $1.5M GF and $291K SAVE deemed immaterial. Enrollment dropped sharply to 14652 (certified) from 16086 - large decline. Capital additions govtl: CIP 6144328 + depreciable 26682926 = 32827254. IPERS NPL surged back to $67.1M due to actuarial losses. Lease (GASB 87) remaining 1343651. GF Assigned = 0.,Cedar Rapids CSD,37274963.0,8231439.0,9491439.0,46766402.0,30864604.0,16086.2,12028925.76,11318871.81,28366556.01,110838419.99,38324951.0,False,0.16710802208176292,0.16710802208176292,0.18690630384457907,0.2195576649142343,60.994428059843464,60.994428059843464,80.13854769369553,219.05001438090093,0.03589148725008636,0.8672487912528332,1260000.0,0.1345787220126353,0.02578432130001826,0.017941421827032743,0,-0.05170015091492171,0.4,0.3333333333333333,0.7333333333333333,False,False,False,False,True,False,False,False,False,1,Low,Low risk,61-day practical cushion; 1 risk flag(s)
1053,Cedar Rapids CSD,2024,234484377,233188518,45599724,39377259,0.0,153691640,17.39,0.55,181975493.0,78.04,0.0,112796461,2.0,N,N,Y,Federal finding 2024-001: Title I special tests noncompliance - District did not maintain written documentation for student cohort removals (23 of 25 sampled). Not a repeat.,Y,RSM US LLP,2025-01-29,unmodified,High,Finding 2024-001 is a federal compliance finding (noncompliance - special tests) not an internal-control finding. Prior year 2023-001 corrected (noted in summary schedule). Capital additions govtl: CIP 22417734 + depreciable 5483392 + land 82750 = 27983876. Depreciation unusually high (23.6M) includes catch-up/accelerated on buildings. IPERS NPL slightly up (68.2M). GF fund balance continues rising - 45.6M. Enrollment 16139 (stat section). GF Assigned = 0.,Cedar Rapids CSD,39377269.0,7417675.0,7417675.0,46794944.0,36384886.0,15959.3,,,,47703846.68,39377259.0,False,0.16886448500007192,0.16886448500007192,0.19554875339102246,,61.63553702502625,61.63553702502625,,240.566941636466,0.03180977804404589,1.0,0.0,0.1560320650093072,0.005526419357141222,0.01646225314893668,0,-0.052944841705486204,0.7857142857142857,0.42857142857142855,0.35714285714285715,False,False,False,False,True,False,True,False,False,2,Low,Low risk,62-day practical cushion; 2 risk flag(s)
1053,Cedar Rapids CSD,2025,229926776,240345218,36118041,30777057,0.0,159466357,13.8,-4.53,188859178.0,78.58,0.0,117941461,,,,,N/A - separately issued,Y,RSM US LLP,2025-12-19,unmodified,Medium,2025 ACFR issued under GAAS only (not Government Auditing Standards); single-audit compliance report issued separately and not included in this file. Findings count and material-weakness/significant-deficiency classifications cannot be confirmed from this file (left blank). Capital additions govtl: CIP 11175621 + depreciable 34896133 + land 7495697 = 53567451. OPEB liability decreased substantially (22.5M to 15.9M) due to actuarial gains. IPERS NPL decreased to 53.0M. GF deficit for year (revenues 229.9M vs expenditures 240.3M = -10.4M swing). Enrollment 16120. GASB 101 Compensated Absences adopted July 1 2024 (restatement). AEA flowthrough dropped from 8.0M to 6.8M (-14.5%). No SBRC/spending-authority reduction language found in any of the six files.,,,,,,,,,,,,30777057.0,False,0.12805354421488843,0.12805354421488843,0.1502756797100078,,46.73954363843428,46.73954363843428,,242.17340702405818,,,,,-0.04531199967767129,-0.0046670863401706035,1,,0.5,,,False,True,False,False,False,False,False,False,False,1,Low,Low risk,47-day practical cushion; 1 risk flag(s)
1337,College CSD (Prairie),2020,63987865,63091052,10926398,10373174,111885.0,50062588,17.02,1.40,,,111995000.0,14336000,0.0,N,N,N,No findings (Part III none; single audit unmodified),N,CliftonLarsonAllen LLP (Cedar Rapids IA),2021-01-04,unmodified,High,"Enrollment is Oct 2019 count per MD&A (FY2020 school year; ""will increase funding for the 2020-21 school year"" per text - used as the in-year certified count). Capital additions = $20902104 non-depreciable increases + $760204 depreciable increases. Cash = governmental $48474918 + BTA $1587670. IPERS NPL and OPEB are governmental-activities figures. Part IV only: IV-A budget exceeded in other-expenditures function + IV-M proprietary-fund deficit; neither in Parts II-III so findings_count=0. No GFOA cert mentioned anywhere in document.",College Community CSD (Prairie),10485058.0,2127205.0,2127205.0,12612263.0,8293547.0,5139.6,1794776.32,1684674.1,2516908.28,48456779.68,10485059.0,False,0.16441593017025616,0.16618931952505722,0.1731845904233773,0.19463671837331228,60.011814512143495,60.659101626645885,71.04240220625898,289.62656416000164,0.03371642939160374,1.0,0.0,0.13145361722610047,0.014015360568757842,,0,,0.8,0.4,0.4,False,False,False,False,False,False,True,False,False,1,Low,Low risk,61-day practical cushion; 1 risk flag(s)
1337,College CSD (Prairie),2021,68676282,65566658,13929171,13370935,120046.0,79304566,20.38,4.53,,,132010000.0,21857000,1.0,N,Y,N,No findings Part III; single audit unmodified,N,CPA firm Moline IL (name not in text extraction),2021-12-21,unmodified,Medium,"Enrollment Oct 2020 estimated as ~5089 per FY2020 MD&A forward-looking note (stated ""decrease of 105 students in October of 2020""); exact decimal not available in source text. FY2020 ACFR stated Oct 2019 = 5194.1 (used for FY2020 row). Capital additions = $10530822 CIP increases + $47329216 depreciable asset increases. Cash = govt $77367930 + BTA $1936636. Lease $398061 issued mid-year. Finding 2021-001: significant deficiency - insufficient segregation of duties over receipts process; IV-H enrollment variance (statutory not counted in findings_count). Firm name absent from text extract - signed Moline IL.",College Community CSD (Prairie),13490981.0,0.0,0.0,13161650.0,10439701.0,5194.1,1556018.02,3188755.59,7839047.34,81562075.03,13490981.0,False,0.20392887799771647,0.2057597780872101,0.21244290047542153,0.22949162697906608,74.43404046916652,75.10231900183169,83.76444384735912,441.47692551296427,0.0,,0.0,0.15922271042089717,0.045279445966512864,0.029647403267635354,0,,0.8666666666666667,0.4,0.13333333333333333,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,75-day practical cushion; 0 risk flag(s)
1337,College CSD (Prairie),2022,69615113,69615997,13912980,13006961,140690.0,54881833,19.58,-0.00,,,126325000.0,28625000,0.0,N,N,Y,No findings Part II-III; single audit unmodified,N,CPA firm Moline IL (name not in text extraction),2023-01-17,unmodified,Medium,Certified enrollment not stated in text for this year; variances in October 2021 enrollment noted as finding IV-H-22 (repeat of IV-H-21 not corrected) - counted as repeat statutory finding. Capital additions = $40718351 CIP increases + $8396788 depreciable. IPERS NPL dropped dramatically to $889109 due to excellent IPERS investment returns in measurement period (FY2022); large pension deferred inflow of $27238112 reflects near-full funding. Revenue bonds include 2017 ($3.5M remaining) and 2020 ($25.1M remaining) SAVE bonds totaling $28625000. Firm name absent from text extract.,College Community CSD (Prairie),13147650.0,778611.0,778611.0,13926261.0,11916617.0,5089.3,1996603.99,2347965.52,7702414.61,50920458.93,13147651.0,False,0.1868386801958751,0.18885962374423798,0.19985320328027478,0.21753987075700432,68.19611827149441,68.93376266664686,79.40205282630657,287.7480738371096,0.011184369017942815,1.0,0.0,0.17117641797186356,-1.2698392086212658e-05,0.019760702714394833,1,,0.6,0.4666666666666667,0.4,False,True,False,False,False,False,True,False,False,2,Low,Low risk,69-day practical cushion; 2 risk flag(s)
1337,College CSD (Prairie),2023,71111767,72308222,12687100,12210480,132450.0,67027470,18.01,-1.68,,,119710000.0,59339000,0.0,N,N,Y,No findings Part II-III; single audit unmodified,N,CPA firm Moline IL (name not in text extraction),2024-01-31,unmodified,Medium,Certified enrollment not stated in text. IV-H-23 enrollment variance finding (repeat of IV-H-22 not corrected) - statutory. Revenue bonds jumped to $59339000 due to new $33M issuance during year. Lease $85375 + SBITA $99552 = $184927 combined. Capital additions = $23948866 CIP increases + $4836636 depreciable increases = $28785502. Cash = govt $63172710 + BTA $3854760. OPEB (govt) $15329079. Firm name absent from text extract.,College Community CSD (Prairie),12386290.0,2072567.0,2072567.0,14458857.0,13997195.0,5130.9,5450208.26,2857878.36,10469890.09,66067544.48,12342930.0,False,0.1688671033841767,0.1706988452848419,0.1754586082893865,0.24607351374232378,61.6364927352245,62.305078528967286,89.81683251594818,338.3436333146181,0.028662950666937987,1.0,0.0,0.19357681067029972,-0.01682499325322629,0.009480584773733454,2,-0.0016927387345320117,0.6,0.5333333333333333,0.5333333333333333,False,True,True,False,False,False,True,False,False,3,Low,Low risk,62-day practical cushion; 3 risk flag(s)
